ID,Extracted Data,Type,Length,Preview
1,"Week 1: July 22 – July 28 
Main Topic: Introduction to Data Mining and Warehousing 
Learning Objectives 
By the end of this week, you should be able to: 
• Define Data Mining (DM) and Data Warehousing (DW) and differentiate them 
• Understand the Knowledge Discovery in Databases (KDD) process 
• Identify major applications of DM and DW in real-world domains 
• Recognize key ethical issues (privacy, bias, transparency, GDPR) 
Core Readings 
Source 
Chapter/Section 
Han et al",sentence,478,"Week 1: July 22 – July 28 
Main Topic: Introductio..."
2,"(DMCT) Chapter 1: Introduction 
Witten et al",sentence,44,"(DMCT) Chapter 1: Introduction 
Witten et al"
3,"(WMLT) Chapter 1: Introduction 
Kimball et al",sentence,45,"(WMLT) Chapter 1: Introduction 
Kimball et al"
4,"(DWT) Chapter 1: DW Fundamentals 
IEEE / ACM 
CS2023 & AI Ethics Guidelines 
Core Concepts to Master 
1",sentence,103,"(DWT) Chapter 1: DW Fundamentals 
IEEE / ACM 
CS20..."
5,"What is Data Mining (DM)? 
Definition: 
Data Mining is the process of discovering meaningful patterns, trends, correlations, and anomalies 
from large datasets using techniques from machine learning, statistics, and database systems",sentence,232,"What is Data Mining (DM)? 
Definition: 
Data Minin..."
6,"Key Features: 
• Focuses on knowledge extraction from data 
• Involves methods like classification, clustering, association rules 
• Applied in fraud detection, marketing, medicine, and more 
2",sentence,194,"
Key Features: 
• Focuses on knowledge extraction ..."
7,"What is Data Warehousing (DW)? 
Definition: 
A Data Warehouse is a centralized repository that stores historical and current data from multiple 
sources in a structured format for analysis and reporting",sentence,202,"What is Data Warehousing (DW)? 
Definition: 
A Dat..."
8,"Key Components: 
• ETL (Extract, Transform, Load) 
• OLAP cubes for multidimensional analysis 
• Star and snowflake schemas for modeling 
3",sentence,140,"
Key Components: 
• ETL (Extract, Transform, Load)..."
9,"Differences: DM vs DW 
Feature 
Purpose 
Data Mining 
Data Warehousing 
Pattern discovery, prediction Data consolidation, reporting 
Techniques Used Machine learning, statistics ETL, OLAP, dimensional modeling 
Output 
Models, rules, patterns 
Time Orientation Often predictive 
Structured historical data 
Historical and current 
4",sentence,332,"Differences: DM vs DW 
Feature 
Purpose 
Data Mini..."
10,"KDD Process (Knowledge Discovery in Databases) 
A structured approach to data mining that includes: 
1",sentence,102,"KDD Process (Knowledge Discovery in Databases) 
A ..."
11,"Selection – Choosing relevant data 
2",sentence,37,"Selection – Choosing relevant data 
2"
12,"Preprocessing – Cleaning and preparing data 
3",sentence,46,"Preprocessing – Cleaning and preparing data 
3"
13,"Transformation – Feature engineering, dimensionality reduction 
4",sentence,65,"Transformation – Feature engineering, dimensionali..."
14,"Data Mining – Applying algorithms 
5",sentence,36,"Data Mining – Applying algorithms 
5"
15,"Interpretation/Evaluation – Assessing and visualizing results 
Think of DM as the core step within the broader KDD pipeline",sentence,123,Interpretation/Evaluation – Assessing and visualiz...
16,5,sentence,2,"
5"
17,"Applications of DM & DW 
• E-commerce: Recommendation systems, customer segmentation 
• Healthcare: Disease prediction, patient history analysis 
• Finance: Credit scoring, fraud detection 
• Manufacturing: Predictive maintenance 
Case Study: Amazon uses DM to recommend products based on purchase patterns and DW to 
store customer histories and transactions",sentence,359,"Applications of DM & DW 
• E-commerce: Recommendat..."
18,6,sentence,2,"
6"
19,"Ethical Considerations in Data Mining 
• Bias in Models: Models trained on biased data can reinforce discrimination",sentence,115,"Ethical Considerations in Data Mining 
• Bias in M..."
20,• Privacy: Sensitive personal data must be protected,sentence,53,"
• Privacy: Sensitive personal data must be protec..."
21,• Transparency: Users should understand how decisions are made,sentence,63,"
• Transparency: Users should understand how decis..."
22,"• Regulations: 
o GDPR (General Data Protection Regulation): EU law for data protection 
o IEEE/ACM AI Ethics: Fairness, accountability, and explainability 
Ethical data mining respects individual privacy, ensures fairness, and avoids discriminatory 
outcomes",sentence,260,"
• Regulations: 
o GDPR (General Data Protection R..."
23,"Lab & Practice Exercises 
Task 1: Concept Summary 
Write a 1-page comparison between Data Mining and Data Warehousing",sentence,118,"
Lab & Practice Exercises 
Task 1: Concept Summary..."
24,"Include: 
• Definitions 
• Key differences 
• One example for each 
Task 2: Case Study Research 
Choose one application area (e.g., healthcare)",sentence,143,"Include: 
• Definitions 
• Key differences 
• One ..."
25,"Find a real case where data mining or warehousing 
was used",sentence,59,Find a real case where data mining or warehousing ...
